ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate
2739,South Carolina,6/5/20,13453,539,7347,5567,261.288547,231299,1814,4.006541292,4492.364501,13.48398127
2740,South Dakota,6/5/20,5277,64,4179,1034,596.5010247,53363,467,1.212810309,6032.041725,8.849725223
2741,Tennessee,6/5/20,25664,408,16925,8331,375.7994744,482172,1893,1.589775561,7060.473199,7.376091022
2742,Texas,6/5/20,72548,1812,47865,22871,250.2010544,1061576,,2.497656724,3661.126903,
2743,Utah,6/5/20,11252,120,6788,4344,350.9715349,232197,870,1.066477071,7242.671301,7.731958763
2744,Vermont,6/5/20,1027,55,882,90,164.5862347,39117,,5.35540409,6268.860509,
2745,Virginia,6/5/20,48532,1454,6392,40686,568.5887408,363770,7597,2.995961428,4261.838091,15.65358938
2746,Washington,6/5/20,22993,1149,,21844,301.9477752,383587,3615,4.997173053,5037.326197,15.72217631
2747,West Virginia,6/5/20,2119,84,1445,590,118.2380686,108518,,3.964134025,6055.195249,
2748,Wisconsin,6/5/20,20249,633,13337,6279,347.7755179,323581,2791,3.1260803,5557.486783,13.78339671
2749,Wyoming,6/5/20,933,17,755,161,161.2069963,27612,90,1.822079314,4770.897731,9.646302251
2750,Alabama,6/6/20,20043,689,11395,7959,408.7751125,245644,1993,3.43760914,5009.886431,9.943621214
2751,Alaska,6/6/20,535,10,382,143,73.13288998,63901,48,1.869158879,8735.074397,8.971962617
2752,Arizona,6/6/20,25451,1043,5399,19009,349.6632717,271646,3320,4.098070803,3732.058823,13.04467408
2753,Arkansas,6/6/20,9101,154,6266,2681,301.5769082,156757,838,1.692121745,5194.406264,9.207779365
2754,California,6/6/20,128593,4607,,123986,325.4511901,2308300,,3.581843491,5841.989705,
2755,Colorado,6/6/20,27834,1527,4055,22252,483.3352319,208277,4472,5.486096141,3616.713807,16.06668104
2756,Connecticut,6/6/20,43818,4055,7284,32479,1229.017468,295549,9669,9.254187777,8289.627174,22.06627413
2757,Delaware,6/6/20,9845,390,5696,3759,1011.025259,67635,,3.961401727,6945.728123,
2758,Florida,6/6/20,62758,2688,,60070,292.2002444,1174185,11163,4.283119284,5466.986582,17.78737372
2759,Georgia,6/6/20,51359,2178,,49181,483.7237812,522857,8662,4.240736774,4924.518878,16.86559318
2760,Hawaii,6/6/20,673,17,614,42,47.53254531,53257,83,2.526002972,3761.427587,12.33283804
2761,Idaho,6/6/20,3139,83,2408,648,175.6511375,55239,257,2.644154189,3091.045933,8.187320803
2762,Illinois,6/6/20,126890,5864,,121026,1001.355685,1022074,,4.621325558,8065.723151,
2763,Indiana,6/6/20,36997,2292,24729,9976,549.5513441,297530,6091,6.1950969,4419.493781,16.46349704
2764,Iowa,6/6/20,21478,599,12715,8164,680.7455936,184714,,2.78890027,5854.513529,
2765,Kansas,6/6/20,10361,233,612,9516,355.6430924,113653,917,2.248817682,3901.158612,8.850497056
2766,Kentucky,6/6/20,11287,470,3344,7473,252.6371111,249062,2361,4.164082573,5574.758941,20.91787012
2767,Louisiana,6/6/20,42486,2925,31728,7833,913.9144475,428069,,6.884620816,9208.17313,
2768,Maine,6/6/20,2524,98,1845,581,187.7680009,58923,296,3.882725832,4383.460347,11.7274168
2769,Maryland,6/6/20,57482,2740,4175,50567,950.794617,357376,9451,4.766709579,5911.262257,16.4416687
2770,Massachusetts,6/6/20,103132,7289,,95843,1496.292421,644639,10369,7.067641469,9352.756176,10.05410542
2771,Michigan,6/6/20,64229,5894,42041,16294,586.0202064,699849,,9.590773174,7007.70022,
2772,Minnesota,6/6/20,27501,1181,22253,4067,487.6382005,333484,3336,4.294389295,5913.222707,12.13046798
2773,Mississippi,6/6/20,17039,811,11203,5025,572.5183786,193123,2475,4.759668995,6489.023231,14.52550032
2774,Missouri,6/6/20,14951,815,,14136,243.6036724,230065,,5.451140392,3748.557213,
2775,Montana,6/6/20,540,18,472,50,50.52499209,46754,68,3.333333333,4374.528667,12.59259259
2776,Nebraska,6/6/20,15572,187,7957,7428,805.0008064,117547,919,1.200873362,6076.639468,5.901618289
2777,Nevada,6/6/20,9491,437,522,8532,308.1337439,171771,,4.604362027,5576.698063,
2778,New Hampshire,6/6/20,5019,283,3319,1417,369.1225562,84009,487,5.638573421,6178.445273,9.703128113
2779,New Jersey,6/6/20,163893,12106,27641,124146,1845.186829,919448,18023,7.386526575,10351.59122,10.99680889
2780,New Mexico,6/6/20,8800,392,3206,5202,419.6813379,224640,1489,4.454545455,10713.31997,16.92045455
2781,New York,6/6/20,377316,30280,67261,279775,1939.572914,2437407,89995,8.025103627,12529.36159,23.85136066
2782,North Carolina,6/6/20,34718,1028,18860,14830,331.0232832,497350,,2.961000058,4742.048214,
2783,North Dakota,6/6/20,2816,72,2268,476,369.5237395,78880,182,2.556818182,10350.86384,6.463068182
2784,Ohio,6/6/20,38111,2372,,35739,326.0387883,458526,6460,6.223924851,3922.680104,16.95048674
2785,Oklahoma,6/6/20,7059,347,5867,845,178.3940292,221601,1026,4.915710441,5600.268488,14.53463663
2786,Oregon,6/6/20,4570,161,2237,2172,108.3519432,146159,819,3.52297593,3465.341722,17.92122538
2787,Pennsylvania,6/6/20,79505,5931,52560,21014,621.0363093,510828,,7.459908182,3990.223707,
2788,Rhode Island,6/6/20,15441,772,1336,13333,1457.576784,170739,1775,4.999676187,16117.16875,11.49536947
2789,South Carolina,6/6/20,13453,539,7347,5567,261.288547,231299,1814,4.006541292,4492.364501,13.48398127
2790,South Dakota,6/6/20,5367,65,4273,1029,606.6744361,55458,474,1.2111049,6268.856136,8.831749581
2791,Tennessee,6/6/20,26177,417,17124,8636,383.3113639,491421,1923,1.59300149,7195.906855,7.346143561
2792,Texas,6/6/20,74470,1833,48895,23742,256.8295821,1093277,,2.46139385,3770.456224,
2793,Utah,6/6/20,11798,121,6939,4738,368.0023257,235149,890,1.025597559,7334.749863,7.543651466
2794,Vermont,6/6/20,1046,55,888,103,167.6311602,40083,,5.258126195,6423.67093,
2795,Virginia,6/6/20,49397,1461,6382,41554,578.7228638,371131,7553,2.957669494,4348.077721,15.29040225
2796,Washington,6/6/20,23442,1153,,22289,307.8441155,390863,3639,4.91852231,5132.8758,15.5234195
2797,West Virginia,6/6/20,2136,84,1446,606,119.1866515,109723,,3.93258427,6122.433037,
2798,Wisconsin,6/6/20,20571,645,13770,6156,353.3058511,335373,2832,3.135481989,5760.013767,13.76695348
2799,Wyoming,6/6/20,939,17,757,165,162.2436973,28508,90,1.810436635,4925.711738,9.584664537
2800,Alabama,6/7/20,20500,692,11395,8413,418.0955848,259566,2022,3.375609756,5293.82432,9.863414634
2801,Alaska,6/7/20,543,10,382,151,74.2264659,64904,,1.841620626,8872.181479,
2802,Arizona,6/7/20,26989,1051,5517,20421,370.7933692,281621,3352,3.89417911,3869.102206,12.41987476
2803,Arkansas,6/7/20,9426,154,6424,2848,312.3463287,160273,844,1.633778909,5310.914824,8.95395714
2804,California,6/7/20,130615,4632,,125983,330.5685939,2362218,,3.546300195,5978.448745,
2805,Colorado,6/7/20,27987,1527,4074,22386,485.9920649,213014,4480,5.45610462,3698.971441,16.00743202
2806,Connecticut,6/7/20,43968,4071,7284,32613,1233.224703,302354,9669,9.25900655,8480.495399,21.99099345
2807,Delaware,6/7/20,9942,398,5792,3752,1020.986605,68997,,4.003218668,7085.597742,
2808,Florida,6/7/20,63938,2700,,61238,297.6943055,1216158,11215,4.222840877,5662.412199,17.54042979
2809,Georgia,6/7/20,51898,2180,,49718,488.8003426,539884,8685,4.200547227,5084.887359,16.73474893
2810,Hawaii,6/7/20,675,17,616,42,47.67380102,54055,83,2.518518519,3817.788614,12.2962963
2811,Idaho,6/7/20,3139,83,2461,595,175.6511375,56041,260,2.644154189,3135.923987,8.282892641
2812,Illinois,6/7/20,127757,5904,,121853,1008.197638,1042774,,4.621273198,8229.077731,
2813,Indiana,6/7/20,37397,2303,25138,9956,555.4929214,304263,6136,6.158247988,4519.505382,16.40773324
2814,Iowa,6/7/20,21712,605,12805,8302,688.1622278,188192,,2.786477524,5964.748801,
2815,Kansas,6/7/20,10406,233,612,9561,357.187725,113653,917,2.239092831,3901.158612,8.812223717
2816,Kentucky,6/7/20,11287,470,3344,7473,252.6371111,249062,2361,4.164082573,5574.758941,20.91787012
2817,Louisiana,6/7/20,42816,2936,31728,8152,921.0130627,434065,,6.857249626,9337.152819,
2818,Maine,6/7/20,2570,99,1864,607,191.1900801,58969,298,3.852140078,4386.882426,11.59533074
2819,Maryland,6/7/20,57973,2749,4240,50984,958.9161186,364803,9546,4.741862591,6034.110307,16.46628603
2820,Massachusetts,6/7/20,103436,7316,,96120,1500.70301,652490,10393,7.072972659,9466.662546,10.047759
2821,Michigan,6/7/20,64648,5898,42041,16709,644.9776942,710718,,9.151879279,7116.53326,
2822,Minnesota,6/7/20,27886,1197,22992,3697,494.4648871,344203,3367,4.292476512,6103.2883,12.07415908
2823,Mississippi,6/7/20,17270,817,11203,5250,580.2800868,203249,2522,4.73074696,6829.261573,14.60335843
2824,Missouri,6/7/20,15023,815,,14208,244.7768023,236858,,5.425014977,3859.238756,
2825,Montana,6/7/20,545,18,475,52,50.99281609,47378,69,3.302752294,4432.913103,12.66055046
2826,Nebraska,6/7/20,15664,187,8255,7222,809.7567835,119769,928,1.193820225,6191.506652,5.924412666
2827,Nevada,6/7/20,9669,438,522,8709,313.912672,175697,,4.529941049,5704.15914,
2828,New Hampshire,6/7/20,5043,286,3319,1438,370.8876372,84009,487,5.671227444,6178.445273,9.656950228
2829,New Jersey,6/7/20,164164,12176,27824,124164,1848.237878,960425,18050,7.416973271,10812.93014,10.99510246
2830,New Mexico,6/7/20,8940,396,3286,5258,426.3580864,229147,1489,4.429530201,10928.26358,16.65548098
2831,New York,6/7/20,378097,30374,67544,280179,1943.587603,2497842,89995,8.033388258,12840.02451,23.80209311
2832,North Carolina,6/7/20,35625,1032,18860,15733,339.6711926,511226,,2.896842105,4874.350739,
2833,North Dakota,6/7/20,2861,72,2307,482,375.4287709,79933,183,2.516602587,10489.04157,6.396364907
2834,Ohio,6/7/20,38476,2379,,36097,329.1613555,469024,6497,6.183075164,4012.490269,16.88585092
2835,Oklahoma,6/7/20,7150,348,5981,821,180.693768,221748,1026,4.867132867,5603.983451,14.34965035
2836,Oregon,6/7/20,4662,163,2237,2262,110.5332077,148400,819,3.496353496,3518.474481,17.56756757
2837,Pennsylvania,6/7/20,79908,5943,53670,20295,624.1842576,520385,,7.437302898,4064.876169,
2838,Rhode Island,6/7/20,15441,772,1336,13333,1457.576784,170739,1775,4.999676187,16117.16875,11.49536947
2839,South Carolina,6/7/20,14286,546,7347,6393,277.4673443,237859,1814,3.821923562,4619.774957,12.69774605
2840,South Dakota,6/7/20,5438,65,4335,1038,614.7001274,57060,478,1.195292387,6449.942859,8.789996322
2841,Tennessee,6/7/20,26493,418,17222,8853,387.9385706,498768,1932,1.577775261,7303.489412,7.292492356
2842,Texas,6/7/20,75408,1841,49758,23809,260.0645243,1100446,,2.441385529,3795.180426,
2843,Utah,6/7/20,12066,121,7108,4837,376.3617614,237951,900,1.002817835,7422.149635,7.458975634
2844,Vermont,6/7/20,1063,55,890,118,170.3555672,41218,,5.174035748,6605.565162,
2845,Virginia,6/7/20,50681,1472,6538,42671,578.7228638,379816,7724,2.957669494,4449.829003,15.63657712
2846,Washington,6/7/20,23729,1157,,22572,311.6130456,400588,3652,4.875890261,5260.586065,15.3904505
2847,West Virginia,6/7/20,2144,84,1451,609,119.6330435,111807,,3.917910448,6238.718141,
2848,Wisconsin,6/7/20,20835,647,14047,6141,357.8400373,346702,2848,3.105351572,5954.588751,13.66930646
2849,Wyoming,6/7/20,947,17,757,173,163.6259652,28751,90,1.795142555,4967.698127,9.503695882
2850,Alabama,6/8/20,20925,718,11395,8812,426.7634201,259991,2054,3.43130227,5302.492156,9.816009558
2851,Alaska,6/8/20,562,10,384,168,76.82370873,65912,,1.779359431,9009.972045,
2852,Arizona,6/8/20,27678,1053,5639,20986,380.2593232,288081,3377,3.804465641,3957.854111,12.20102609
2853,Arkansas,6/8/20,9740,155,6424,3161,322.7512456,160587,844,1.59137577,5321.319741,8.665297741
2854,California,6/8/20,133816,4657,,129159,338.6698845,2431190,,3.48015185,6153.007387,
2855,Colorado,6/8/20,28169,1543,4091,22535,489.1524807,217484,4485,5.477652739,3776.592641,15.92175796
2856,Connecticut,6/8/20,44092,4084,7284,32724,1236.702683,308071,9669,9.262451238,8640.847146,21.92914814
2857,Delaware,6/8/20,9972,398,5791,3783,1024.067433,69947,,3.991175291,7183.157315,
2858,Florida,6/8/20,64904,2712,,62192,302.1919861,1234550,11282,4.178478984,5748.045057,17.38259583
2859,Georgia,6/8/20,52497,2208,,50289,494.4420129,549375,8746,4.205954626,5174.278165,16.65999962
2860,Hawaii,6/8/20,676,17,617,42,47.74442887,55147,84,2.514792899,3894.91423,12.4260355
2861,Idaho,6/8/20,3189,83,2461,645,178.4490212,56041,260,2.60269677,3135.923987,8.153026027
2862,Illinois,6/8/20,128415,5924,,122491,1013.390262,1059597,,4.613168244,8361.836866,
2863,Indiana,6/8/20,37623,2316,25608,9699,558.8499126,309503,6179,6.155808947,4597.340045,16.42346437
2864,Iowa,6/8/20,22007,617,13028,8362,697.512258,193622,,2.803653383,6136.852748,
2865,Kansas,6/8/20,10544,236,625,9683,361.9245986,119509,936,2.238239757,4102.166811,8.877086495
2866,Kentucky,6/8/20,11476,472,3359,7645,256.8675013,252857,2368,4.112931335,5659.702489,20.63436738
2867,Louisiana,6/8/20,43050,2944,33904,6202,926.0466263,442602,,6.838559814,9520.791844,
2868,Maine,6/8/20,2588,99,1891,598,192.5291546,61645,301,3.825347759,4585.958167,11.63060278
2869,Maryland,6/8/20,58404,2776,4240,51388,966.0451761,371503,9629,4.753099103,6144.933242,16.48688446
2870,Massachusetts,6/8/20,103626,7353,,96273,1503.459629,657269,10425,7.095709571,9535.998751,10.06021655
2871,Michigan,6/8/20,64944,5916,42041,16987,644.9776942,721035,,9.151879279,7219.839034,
2872,Minnesota,6/8/20,28224,1208,23657,3359,500.4581859,354226,3401,4.280045351,6281.012662,12.05002834
2873,Mississippi,6/8/20,17768,837,13356,3575,597.01312,208212,2535,4.710715894,6996.020697,14.26722197
2874,Missouri,6/8/20,15158,823,,14335,246.9764207,241461,,5.429476184,3934.237599,
2875,Montana,6/8/20,548,18,475,55,51.2735105,51592,69,3.284671533,4827.195171,12.59124088
2876,Nebraska,6/8/20,15786,188,8455,7143,816.0636226,121407,935,1.190928671,6276.183721,5.92296972
2877,Nevada,6/8/20,9816,442,522,8852,318.6851575,180003,,4.502852486,5843.957254,
2878,New Hampshire,6/8/20,5079,286,3392,1401,373.5352586,85552,489,5.63102973,6291.925269,9.627879504
2879,New Jersey,6/8/20,164497,12214,27941,124342,1851.986954,975089,18050,7.425059424,10978.02456,10.97284449
2880,New Mexico,6/8/20,9062,400,3307,5355,432.1763959,234375,1533,4.414036637,11177.59245,16.91679541
2881,New York,6/8/20,378799,30417,67687,280695,1947.196197,2555896,89995,8.029852244,13138.44802,23.75798247
2882,North Carolina,6/8/20,36517,1041,23653,11823,348.1760825,520113,,2.850727059,4959.084996,
2883,North Dakota,6/8/20,2880,72,2336,472,377.9220063,80180,184,2.5,10521.45364,6.388888889
2884,Ohio,6/8/20,38837,2406,,36431,332.2497027,476818,6550,6.195123207,4079.167772,16.86536035
2885,Oklahoma,6/8/20,7205,348,6014,843,182.0837201,221803,1039,4.829979181,5605.373403,14.42054129
2886,Oregon,6/8/20,4922,164,2237,2521,116.6976509,149879,843,3.33197887,3553.540678,17.12718407
2887,Pennsylvania,6/8/20,80339,5953,53670,20716,627.550922,527950,,7.409850757,4123.968549,
2888,Rhode Island,6/8/20,15642,799,1390,13453,1476.550487,179169,1807,5.10804245,16912.93147,11.55223117
2889,South Carolina,6/8/20,14800,557,7347,6896,287.4504197,244661,1814,3.763513514,4751.885616,12.25675676
2890,South Dakota,6/8/20,5471,65,4403,1003,618.4303783,57819,482,1.188082617,6535.738629,8.810089563
2891,Tennessee,6/8/20,27005,421,17563,9021,395.435817,512763,1948,1.558970561,7508.419027,7.213478985
2892,Texas,6/8/20,76463,1848,49758,24857,263.7029722,1100446,,2.416855211,3795.180426,
2893,Utah,6/8/20,12322,124,7255,4943,384.3468941,242899,918,1.006330141,7576.487278,7.450089271
2894,Vermont,6/8/20,1075,55,895,125,172.278678,42798,,5.11627907,6858.774754,
2895,Virginia,6/8/20,51251,1477,6557,43217,600.4438629,383592,7730,2.881894987,4494.067672,15.08263253
2896,Washington,6/8/20,24041,1161,,22880,315.7102798,405056,3669,4.829250031,5319.26056,15.26142839
2897,West Virginia,6/8/20,2161,84,1468,609,120.5816264,113605,,3.887089311,6339.044732,
2898,Wisconsin,6/8/20,21038,646,14242,6150,361.3265517,354291,2860,3.070634091,6084.92943,13.59444814
2899,Wyoming,6/8/20,960,17,773,170,165.8721506,29974,91,1.770833333,5179.012335,9.479166667
2900,Alabama,6/9/20,21422,729,11395,9298,436.8996887,267739,2087,3.4030436,5460.511892,9.742320978
2901,Alaska,6/9/20,572,11,389,172,78.19067863,66890,,1.923076923,9143.661702,
2902,Arizona,6/9/20,28296,1076,5764,21456,388.7498305,293213,3406,3.802657619,4028.361042,12.03703704
2903,Arkansas,6/9/20,10080,161,6875,3044,334.0177162,165781,865,1.597222222,5493.431648,8.581349206
2904,California,6/9/20,136641,4745,,131896,345.8195708,2486245,,3.472603391,6292.344017,
2905,Colorado,6/9/20,28333,1553,4112,22668,492.0003278,221887,4859,5.481240956,3853.050392,17.14961352
2906,Connecticut,6/9/20,44179,4097,7284,32798,1239.14288,312651,9669,9.273636796,8769.308053,21.88596392
2907,Delaware,6/9/20,10020,410,5888,3722,1028.996759,70753,,4.091816367,7265.928911,
2908,Florida,6/9/20,66000,2765,,63235,307.2949445,1258305,11460,4.189393939,5858.647957,17.36363636
2909,Georgia,6/9/20,53249,2285,,50964,501.5247108,557183,8872,4.291160397,5247.817667,16.66134575
2910,Hawaii,6/9/20,682,17,618,47,48.168196,55474,84,2.492668622,3918.009538,12.31671554
2911,Idaho,6/9/20,3221,85,2509,627,180.2396667,57677,260,2.638932009,3227.470741,8.072027321
2912,Illinois,6/9/20,129212,6018,,123194,1019.679808,1079906,,4.657462155,8522.10586,
2913,Indiana,6/9/20,38033,2339,26205,9489,564.9400294,315390,6225,6.149922436,4684.78521,16.36736518
2914,Iowa,6/9/20,22237,626,13411,8200,704.8021122,197723,,2.81512794,6266.834016,
2915,Kansas,6/9/20,10609,237,625,9747,364.1557347,119509,936,2.233952305,4102.166811,8.822697709
2916,Kentucky,6/9/20,11707,477,3365,7865,262.0379782,259938,2386,4.074485351,5818.196632,20.38096865
2917,Louisiana,6/9/20,43612,2957,33904,6751,938.1357832,453668,,6.78024397,9758.832076,
2918,Maine,6/9/20,2606,100,1992,514,193.8682291,62420,302,3.837298542,4643.612763,11.5886416
2919,Maryland,6/9/20,58904,2811,4279,51814,974.3155443,378082,9676,4.772171669,6253.754747,16.42672824
2920,Massachusetts,6/9/20,103889,7408,,96481,1507.275369,661992,10507,7.130687561,9604.522479,10.11367902
2921,Michigan,6/9/20,64998,5948,42041,17009,650.835393,737151,,9.143358257,7381.211126,
2922,Minnesota,6/9/20,28523,1228,24221,3074,505.7599503,360991,3441,4.305297479,6400.967297,12.06394839
2923,Mississippi,6/9/20,18123,847,13356,3920,608.9412862,208212,2535,4.673619158,6996.020697,13.98775037
2924,Missouri,6/9/20,15352,845,,14507,250.137354,245695,,5.504168838,4003.224152,
2925,Montana,6/9/20,554,18,485,51,51.8348993,53184,72,3.249097473,4976.150332,12.99638989
2926,Nebraska,6/9/20,15918,189,8637,7092,822.8874157,122692,967,1.187335092,6342.612313,6.074883779
2927,Nevada,6/9/20,10045,446,557,9042,326.1198459,183589,,4.44001991,5960.379929,
2928,New Hampshire,6/9/20,5079,286,3392,1401,373.5352586,87123,492,5.63102973,6407.464527,9.686946249
2929,New Jersey,6/9/20,164796,12303,28036,124457,1855.353241,989497,18069,7.465593825,11140.23681,10.96446516
2930,New Mexico,6/9/20,9105,404,3380,5321,434.2271115,238801,1558,4.43712246,11388.67309,17.11147721
2931,New York,6/9/20,379482,30458,67808,281216,1950.707122,2605869,89995,8.026204141,13395.33158,23.71522233
2932,North Carolina,6/9/20,37227,1068,23653,12506,354.9456698,535711,,2.868885486,5107.806154,
2933,North Dakota,6/9/20,2901,72,2450,379,380.6776876,80666,189,2.481902792,10585.22797,6.514994829
2934,Ohio,6/9/20,39162,2423,,36739,335.0300707,490390,6620,6.187120168,4195.275941,16.90414177
2935,Oklahoma,6/9/20,7363,354,6073,936,186.0766733,234041,1061,4.807822898,5914.650373,14.40988727
2936,Oregon,6/9/20,4988,169,2313,2506,118.2624711,153617,851,3.388131516,3642.166403,17.06094627
2937,Pennsylvania,6/9/20,80870,6014,53670,21186,631.6987149,536304,,7.436626685,4189.224034,
2938,Rhode Island,6/9/20,15691,808,1398,13485,1481.175916,180887,1815,5.149448729,17075.10471,11.5671404
2939,South Carolina,6/9/20,15228,568,7928,6732,295.763175,247982,1898,3.729971106,4816.38716,12.46388232
2940,South Dakota,6/9/20,5523,68,4483,972,624.3083493,59159,487,1.231214919,6687.209422,8.817671555
2941,Tennessee,6/9/20,27575,435,18013,9127,403.7823608,521197,1974,1.577515866,7631.918589,7.158658205
2942,Texas,6/9/20,78208,1867,51140,25201,269.4520646,1147355,,2.389607065,3956.958576,
2943,Utah,6/9/20,12559,127,7391,5041,391.7393802,246860,931,1.011227009,7700.038491,7.41301059
2944,Vermont,6/9/20,1084,55,901,128,173.7210111,44228,,5.073800738,7087.945461,
2945,Virginia,6/9/20,51738,1496,6677,43565,606.1494327,390856,7846,2.891491747,4579.170874,15.16486915
2946,Washington,6/9/20,24354,1176,,23178,319.8206462,410290,3699,4.82877556,5387.99429,15.18847007
2947,West Virginia,6/9/20,2169,84,1477,608,121.0280183,114338,,3.87275242,6379.945395,
2948,Wisconsin,6/9/20,21308,661,14583,6064,365.9637877,368518,2904,3.102121269,6329.277412,13.62868406
2949,Wyoming,6/9/20,970,17,789,164,167.5999855,30336,91,1.75257732,5241.559958,9.381443299
2950,Alabama,6/10/20,21989,744,13508,7737,448.4636007,273057,2129,3.383509937,5568.972005,9.682113784
2951,Alaska,6/10/20,592,11,392,189,80.92461844,67720,,1.858108108,9257.120204,
2952,Arizona,6/10/20,29852,1101,5851,22900,410.1272243,299687,3476,3.688195096,4117.305289,11.64411095
2953,Arkansas,6/10/20,10368,165,7116,3087,343.5610795,176217,901,1.591435185,5839.246021,8.690200617
2954,California,6/10/20,139715,4854,,134861,353.5994419,2540798,,3.474215367,6430.410154,
2955,Colorado,6/10/20,28484,1572,4130,22782,494.622431,226094,5025,5.518887797,3926.104617,17.64148294
2956,Connecticut,6/10/20,44347,4120,7284,32943,1243.854983,316913,9669,9.290369134,8888.849621,21.80305319
2957,Delaware,6/10/20,10056,413,5939,3704,1032.693753,71745,,4.107000796,7367.801644,
2958,Florida,6/10/20,67371,2801,,64570,313.6782986,1279023,11621,4.157575218,5955.110634,17.24926155
2959,Georgia,6/10/20,53980,2329,,51651,508.4096207,570955,8974,4.314560948,5377.528992,16.62467581
2960,Hawaii,6/10/20,685,17,621,47,48.38007956,56173,84,2.481751825,3967.378407,12.26277372
2961,Idaho,6/10/20,3260,85,2554,621,182.422016,59052,262,2.607361963,3304.412542,8.036809816
2962,Illinois,6/10/20,129837,6095,,123742,1024.612011,1100726,,4.694347528,8686.407423,
2963,Indiana,6/10/20,38337,2355,26791,9191,569.4556282,320094,6261,6.14289068,4754.65816,16.33148134
2964,Iowa,6/10/20,22626,631,13628,8367,717.1314741,202829,,2.788827013,6428.668778,
2965,Kansas,6/10/20,10750,240,657,9853,368.9955837,123742,954,2.23255814,4247.465258,8.874418605
2966,Kentucky,6/10/20,11883,484,3375,8024,265.9773891,274414,2396,4.073045527,6142.213183,20.16325844
2967,Louisiana,6/10/20,44030,2968,33904,7158,947.1273625,460120,,6.740858506,9897.620759,
2968,Maine,6/10/20,2637,100,2023,514,196.174413,63940,303,3.792188093,4756.690165,11.49032992
2969,Maryland,6/10/20,59465,2844,4310,52311,983.5948975,384642,9755,4.782645254,6362.261979,16.40460775
2970,Massachusetts,6/10/20,104156,7454,,96702,1511.149143,672090,10582,7.156572833,9751.029488,10.15976036
2971,Michigan,6/10/20,65182,5955,42041,17186,652.6778145,737335,,9.13595778,7383.053547,
2972,Minnesota,6/10/20,28869,1267,24675,2927,511.8951024,369795,3482,4.388790744,6557.076774,12.06138072
2973,Mississippi,6/10/20,18483,868,13356,4259,621.0374548,213885,2614,4.696207326,7186.636153,14.14272575
2974,Missouri,6/10/20,15512,851,,14661,252.7443092,251629,,5.486075297,4099.909604,
2975,Montana,6/10/20,561,18,487,56,52.4898529,54616,74,3.20855615,5110.135126,13.19073084
2976,Nebraska,6/10/20,16058,191,8820,7047,830.124772,125162,989,1.189438286,6470.299957,6.158923901
2977,Nevada,6/10/20,10218,449,557,9212,331.7364445,187323,,4.394206303,6081.607555,
2978,New Hampshire,6/10/20,5178,301,3501,1376,380.8162176,88647,496,5.813055234,6519.547168,9.578988026
2979,New Jersey,6/10/20,165346,12377,28207,124762,1861.545407,1008934,18223,7.485515223,11359.06798,11.02113145
2980,New Mexico,6/10/20,9250,410,3699,5141,441.1423154,241657,1583,4.432432432,11524.87876,17.11351351
2981,New York,6/10/20,380156,30542,68019,281595,1954.171784,2668166,89995,8.034070224,13715.56601,23.67317628
2982,North Carolina,6/10/20,38473,1090,23653,13730,366.8258187,553650,,2.83315572,5278.847881,
2983,North Dakota,6/10/20,2941,73,2482,386,385.9266044,81660,193,2.482148929,10715.66355,6.562393744
2984,Ohio,6/10/20,39575,2459,,37116,338.5632769,501884,6693,6.213518636,4293.606865,16.91219204
2985,Oklahoma,6/10/20,7483,356,6166,961,189.109296,237297,1075,4.75745022,5996.935535,14.36589603
2986,Oregon,6/10/20,5060,169,2332,2559,119.9695477,156758,857,3.339920949,3716.637619,16.93675889
2987,Pennsylvania,6/10/20,81316,6062,54560,20694,635.1825486,544430,,7.454867431,4252.698546,
2988,Rhode Island,6/10/20,15756,812,1406,13538,1487.311691,183622,1828,5.153592282,17333.27921,11.60192942
2989,South Carolina,6/10/20,15759,575,7928,7256,306.07643,252532,1898,3.648708674,4904.758742,12.04391142
2990,South Dakota,6/10/20,5604,69,4573,962,633.4644196,60685,503,1.231263383,6859.705265,8.97573162
2991,Tennessee,6/10/20,27930,437,18516,8977,408.9806469,528827,1990,1.56462585,7743.645132,7.124955245
2992,Texas,6/10/20,80777,1905,52449,26423,278.5809474,1161087,,2.358344578,4004.317027,
2993,Utah,6/10/20,12864,128,7587,5149,401.2529172,249760,954,0.995024876,7790.495072,7.416044776
2994,Vermont,6/10/20,1095,55,903,137,175.4838627,45742,,5.02283105,7330.577943,
2995,Virginia,6/10/20,52177,1514,6826,43837,611.2926466,398364,7981,2.901661652,4667.132719,15.29601165
2996,Washington,6/10/20,24354,1176,,23178,319.8206462,415054,3747,4.82877556,5450.555904,15.38556295
2997,West Virginia,6/10/20,2194,85,1485,624,122.4229932,117990,,3.87420237,6583.723322,
2998,Wisconsin,6/10/20,21593,671,14999,5923,370.8586478,378705,2943,3.107488538,6504.238605,13.62941694
2999,Wyoming,6/10/20,980,18,804,158,169.3278204,30852,92,1.836734694,5330.716239,9.387755102
3000,Alabama,6/11/20,22845,755,13508,8582,465.9216407,278826,2165,3.304880718,5686.630221,9.476909608
3001,Alaska,6/11/20,609,11,397,201,83.24846728,69011,,1.806239737,9433.596019,
